2019.02.19-13:15:14 8-107-1.dcm to 8-107-1.dcm.gz 
2019.02.19-13:15:14 8-108-1.dcm to 8-108-1.dcm.gz 
2019.02.19-13:15:14 8-109-1.dcm to 8-109-1.dcm.gz 
2019.02.19-13:15:14 8-110-1.dcm to 8-110-1.dcm.gz 
2019.02.19-13:15:14 8-111-1.dcm to 8-111-1.dcm.gz 
2019.02.19-13:15:14 8-11-1.dcm to 8-11-1.dcm.gz 
2019.02.19-13:15:14 8-112-1.dcm to 8-112-1.dcm.gz 
2019.02.19-13:15:14 8-113-1.dcm to 8-113-1.dcm.gz 
2019.02.19-13:15:14 8-114-1.dcm to 8-114-1.dcm.gz 
2019.02.19-13:15:14 8-115-1.dcm to 8-115-1.dcm.gz 
